,I,I,I,I,I,I,II,II,II,II,III,III,III,III,III,III,IV,IV,IV,IV,IV,IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,F,G,AC,BG,DF,G,A,B,C,D,F,G,A,B,C,D,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jr1,2,,2,2,2,2,4,,,,2,,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biologia,3,1,1,1,2,1,4,2,4,2,1,1,1,1,4,1,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biol1,3,1,1,1,2,1,,,,,1,1,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biol2,,,,,,,4,2,4,2,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wych.Fiz.,6,3,3,3,3,3,6,3,6,0,6,3,3,6,6,6,6,6,3,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf1,,,,,3,,,,3,3,,3,,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf2,3,3,,,,,3,3,,,,,3,,,,3,,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf3,,,,,,3,,,,,,,,3,3,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf4,3,,3,,,,3,3,3,3,3,,3,,,3,3,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf5,,,,,,,,,,,3,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wf6,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EdB,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edb1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matematyka,3,3,3,5,5,5,4,6,5,6,3,3,3,6,5,5,4,4,4,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mat1,,3,,5,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mat2,,,3,,,,,,,6,,3,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mat3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
